index,smiles,FDA_APPROVED,CT_TOX,mol,isosmiles
33,C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09fa0>,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br
34,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3040>,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
35,C(C(C(=O)[O-])O)(C(=O)[O-])O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d30a0>,O=C([O-])C(O)C(O)C(=O)[O-]
36,C(C(C(=O)[O-])S)(C(=O)[O-])S,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3100>,O=C([O-])C(S)C(S)C(=O)[O-]
37,C(C(Cl)(Cl)Cl)OP(=O)([O-])[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3160>,O=P([O-])([O-])OCC(Cl)(Cl)Cl
38,C(C(CO)(CO)[NH3+])O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d31c0>,[NH3+]C(CO)(CO)CO
39,C(C(CO)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3220>,OCC(O)CO
40,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3280>,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
41,C(C(CS)S)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d32e0>,OCC(S)CS
42,C(C(F)(F)F)(C(F)(F)F)(F)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3340>,FC(F)(F)C(F)(F)C(F)(F)F
43,C(C(F)(F)F)(Cl)Br,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d33a0>,FC(F)(F)C(Cl)Br
44,C(C(F)(F)F)(OC(F)F)Cl,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3400>,FC(F)OC(Cl)C(F)(F)F
45,C(C(F)(F)F)(OC(F)F)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3460>,FC(F)OC(F)C(F)(F)F
46,C(=C(F)F)(F)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d34c0>,FC(F)=C(F)F
47,C(C(=O)[O-])[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3520>,[NH3+]CC(=O)[O-]
48,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3580>,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
49,C(C(OC(F)F)(F)F)(F)Cl,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d35e0>,FC(F)OC(F)(F)C(F)Cl
50,C(=C/C(=O)[O-])\C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3640>,O=C([O-])/C=C/C(=O)[O-]
51,C(C[C@@H](C(=O)[O-])[NH3+])C[NH+]=C(N)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d36a0>,NC(N)=[NH+]CCC[C@H]([NH3+])C(=O)[O-]
52,C(C[NH2+]CCNCC[NH2+]CCN)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3700>,NCC[NH2+]CCNCC[NH2+]CCN
53,C(C[NH3+])C(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3760>,[NH3+]CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-]
54,C(C[NH3+])C[NH2+]CCSP(=O)([O-])[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d37c0>,[NH3+]CCC[NH2+]CCSP(=O)([O-])[O-]
55,C(CC(C(F)F)(C(=O)[O-])[NH3+])C[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3820>,[NH3+]CCCC([NH3+])(C(=O)[O-])C(F)F
56,C(CC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-])C[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3880>,[NH3+]CCCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-]
57,C(CC(=O)[O-])C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d38e0>,O=C([O-])CCC(=O)[O-]
58,C(CC(=O)[O-])C(=O)C[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3940>,[NH3+]CC(=O)CCC(=O)[O-]
59,C(CC(=O)[O-])CO,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d39a0>,O=C([O-])CCCO
60,C(CC(=O)N)[C@@H](C(=O)[O-])[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3a00>,NC(=O)CC[C@H]([NH3+])C(=O)[O-]
61,C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)[O-])NC(=O)CC[C@@H](C(=O)[O-])[NH3+])C(=O)NCC(=O)[O-])[C@@H](C(=O)[O-])[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3a60>,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]
62,C(CCC(=O)[O-])CC[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3ac0>,[NH3+]CCCCCC(=O)[O-]
63,C(CCCC(=O)[O-])CCCC(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3b20>,O=C([O-])CCCCCCCC(=O)[O-]
64,C(CN(CC(=O)[O-])CC(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3b80>,O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
65,C(CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3be0>,O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-]
66,C(CNCC[NH2+]CCN)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3c40>,NCC[NH2+]CCNCC[NH3+]
67,C(CO)N(c1c(c(c(c(c1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3ca0>,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I
68,C(CS(=O)(=O)[O-])S,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3d00>,O=S(=O)([O-])CCS
69,C(CS)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3d60>,[NH3+]CCS
70,C(=O)([O-])[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3dc0>,O=C([O-])[O-]
71,C(=O)([O-])P(=O)([O-])[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3e20>,O=C([O-])P(=O)([O-])[O-]
72,C(=O)(N)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3e80>,NC(N)=O
73,C(=O)(N)NO,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3ee0>,NC(=O)NO
74,C(OC(C(F)(F)F)C(F)(F)F)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3f40>,FCOC(C(F)(F)F)C(F)(F)F
75,C/[NH+]=C\1/CN(C(=c2cc(ccc2=N1)Cl)c3ccccc3)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89d3fa0>,C/[NH+]=C1/CN([O-])C(c2ccccc2)=c2cc(Cl)ccc2=N1
76,C/C=C(/C(=C/C)/c1ccc(cc1)O)\c2ccc(cc2)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07040>,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
77,C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)[NH3+])SC1)C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a070a0>,C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccc(O)cc3)[C@H]2SC1
78,C/C=C\1/C(=O)N[C@H](C(=O)O[C@H]\2CC(=O)N[C@@H](C(=O)N[C@H](CSSCC/C=C2)C(=O)N1)C(C)C)C(C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07100>,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O
79,c1(c(nc(c(n1)Cl)N)N)C(=O)NC(=[NH2+])N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07160>,NC(=[NH2+])NC(=O)c1nc(Cl)c(N)nc1N
80,C1[C@@H]([C@@H]2[C@H](O1)[C@@H](CO2)O[N+](=O)[O-])O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a071c0>,O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12
81,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07220>,[NH3+]C[C@H]1O[C@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]2O)[C@H]([NH3+])C[C@@H]1O
82,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CC[NH3+])O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C[NH3+])O)O)O)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07280>,[NH3+]CC[C@H](O)C(=O)N[C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]1O
83,C1[C@@H]([C@H]([C@@H]([C@H]([NH+]1CCO)CO)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a072e0>,OCC[NH+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
84,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,0,1,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07340>,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
85,C1[C@@H](CC[C@H](C1)C(=O)[O-])C[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a073a0>,[NH3+]C[C@H]1CC[C@H](C(=O)[O-])CC1
86,C1[C@@H](NC(=[NH+][C@H]1O)N)[C@H]2C(=O)NC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N/C(=C\\NC(=O)N)/C(=O)N2)CO)CO)NC(=O)C[C@H](CCC[NH3+])[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07400>,NC(=O)N/C=C1\NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O
87,C1[C@@H]2C[C@@H]2N([C@@H]1C#N)C(=O)[C@H](C34CC5CC(C3)CC(C5)(C4)O)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07460>,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H]([NH3+])C12CC3CC(CC(O)(C3)C1)C2
88,C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a074c0>,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
89,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C[NH3+])O)O)[NH3+])O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)C[NH3+])O)O)[NH3+])O)O)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07520>,[NH3+]C[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]3[NH3+])[C@@H]2O)[C@H]([NH3+])[C@@H](O)[C@@H]1O
90,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C[NH3+])O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)[NH3+])O)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07580>,[NH3+]C[C@H]1O[C@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
91,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)[NH3+])O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)C[NH3+])O)O)[NH3+])O)O)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a075e0>,[NH3+]C[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3[NH3+])[C@@H]2O)[C@H]([NH3+])[C@@H](O)[C@@H]1O
92,C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2CO[C@H]([C@@H]([C@H]2OS(=O)(=O)[O-])OS(=O)(=O)[O-])O)OS(=O)(=O)[O-])OS(=O)(=O)[O-])O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07640>,O=S(=O)([O-])O[C@H]1[C@H](O)CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H]2OS(=O)(=O)[O-])[C@@H]1OS(=O)(=O)[O-]
93,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a076a0>,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12
94,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07700>,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
95,C1[C@H](C(=O)NO1)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07760>,[NH3+][C@@H]1CONC1=O
96,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)[O-])NC(=O)N2,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a077c0>,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
97,c1[nH]c(=O)c2c(n1)n(cn2)[C@H]3CC[C@H](O3)CO,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07820>,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1
98,c1[nH]c2c(n1)[nH]c(nc2=S)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07880>,Nc1nc(=S)c2[nH]cnc2[nH]1
99,c1[nH]c2c(n1)[nH]cnc2=S,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a078e0>,S=c1nc[nH]c2nc[nH]c12
100,c1c([n+](c(nc1N2CCCCC2)N)[O-])N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07940>,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
101,c1c([nH]cn1)C[C@@H](C(=O)N2CCC[C@H]2C(=O)N)NC(=O)[C@@H]3CCC(=O)N3,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a079a0>,NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1
102,c1c([nH]cn1)CC[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07a00>,[NH3+]CCc1cnc[nH]1
103,c1c(c([nH]c(=O)n1)N)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07a60>,Nc1[nH]c(=O)ncc1F
104,c1c(c(c(c(c1Cl)Cl)Cc2c(c(cc(c2Cl)Cl)Cl)O)O)Cl,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07ac0>,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
105,c1c(c(c(c(c1I)NC(=O)CCCCC(=O)Nc2c(cc(c(c2I)C(=O)[O-])I)I)I)C(=O)[O-])I,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07b20>,O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I
106,c1c(c(c(c(c1I)NC(=O)CCOCCOCCOCCOCCC(=O)Nc2c(cc(c(c2I)C(=O)[O-])I)I)I)C(=O)[O-])I,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07b80>,O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I
107,c1c(c(cc(c1Cl)Cl)Cl)OCC#CI,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07be0>,Clc1cc(Cl)c(OCC#CI)cc1Cl
108,c1c(c(cc(c1F)F)F)C[C@H](CC(=O)N2CCn3c(nnc3C(F)(F)F)C2)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07c40>,[NH3+][C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
109,c1c(c(nc(=O)n1[C@@H]2CS[C@@H](O2)CO)N)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07ca0>,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F
110,c1c(c(=O)[nH]c(=O)[nH]1)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a07d00>,O=c1[nH]cc(F)c(=O)[nH]1
