ChemID,source_casrn,CAS,SMILES,NAME,preferred_name,iupac,MPID,dsstox_substance_id,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,Salt_Solvent,LogBCF,ID,mol,isosmiles
100015,59-50-7,59-50-7,Cc1cc(O)ccc1Cl,3-METHYL-4-CHLOROPHENOL,4-Chloro-3-methylphenol,4-chloro-3-methylphenol,97947,DTXSID4021717,Cc1cc(O)ccc1Cl,"InChI=1S/C7H7ClO/c1-5-4-6(9)2-3-7(5)8/h2-4,9H,1H3",CFKMVGJGLGKFKI-UHFFFAOYSA-N,?,0.93,100015,<rdkit.Chem.rdchem.Mol object at 0x2b7b59b8ebe0>,Cc1cc(O)ccc1Cl
100016,60-29-7,60-29-7,CCOCC,DIETHYL ETHER,Diethyl ether,diethyl ether,97948,DTXSID3021720,CCOCC,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",RTZKZFJDLAIYFH-UHFFFAOYSA-N,?,0.73,100016,<rdkit.Chem.rdchem.Mol object at 0x2b7b59b8ed60>,CCOCC
100017,60-51-5,60-51-5,CNC(=O)CSP(=S)(OC)OC,DIMETHOATE,Dimethoate,"O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",97949,DTXSID7020479,CNC(=O)CSP(=S)(OC)OC,"InChI=1S/C5H12NO3PS2/c1-6-5(7)4-12-10(11,8-2)9-3/h4H2,1-3H3,(H,6,7)",MCWXGJITAZMZEV-UHFFFAOYSA-N,?,0.2,100017,<rdkit.Chem.rdchem.Mol object at 0x2b7b59b8efa0>,CNC(=O)CSP(=S)(OC)OC
100019,61-82-5,61-82-5,Nc1[n]c[nH][n]1,AMITROLE,Amitrole,"1H-1,2,4-triazol-3-amine",97951,DTXSID0020076,Nc1[n]c[nH][n]1,"InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)",KLSJWNVTNUYHDU-UHFFFAOYSA-N,?,0.49,100019,<rdkit.Chem.rdchem.Mol object at 0x2b7b59b8ed00>,Nc1nc[nH]n1
100020,62-44-2,62-44-2,CC(=O)Nc1ccc(cc1)OCC,P-PHENACETIN,Phenacetin,N-(4-ethoxyphenyl)acetamide,97952,DTXSID1021116,CC(=O)Nc1ccc(cc1)OCC,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",CPJSUEIXXCENMM-UHFFFAOYSA-N,?,1.48,100020,<rdkit.Chem.rdchem.Mol object at 0x2b7b59b8edc0>,CCOc1ccc(NC(C)=O)cc1
100021,62-53-3,62-53-3,Nc1ccccc1,ANILINE,Aniline,aniline,97953,DTXSID8020090,Nc1ccccc1,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",PAYRUJLWNCNPSJ-UHFFFAOYSA-N,?,0.21,100021,<rdkit.Chem.rdchem.Mol object at 0x2b7b59b8eee0>,Nc1ccccc1
100023,62-73-7,62-73-7,COP(=O)(OC=C(Cl)Cl)OC,DICHLORVOS,Dichlorvos,"2,2-dichloroethenyl dimethyl phosphate",97955,DTXSID5020449,COP(=O)(OC=C(Cl)Cl)OC,"InChI=1S/C4H7Cl2O4P/c1-8-11(7,9-2)10-3-4(5)6/h3H,1-2H3",OEBRKCOSUFCWJD-UHFFFAOYSA-N,?,-0.3,100023,<rdkit.Chem.rdchem.Mol object at 0x2b7b59b8ef40>,COP(=O)(OC)OC=C(Cl)Cl
100024,63-25-2,63-25-2,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC,1-NAPHTHYL-N-METHYLCARBAMATE,Carbaryl,naphthalen-1-yl methylcarbamate,97956,DTXSID9020247,CNC(=O)Oc1cccc2ccccc21,"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)",CVXBEEMKQHEXEN-UHFFFAOYSA-N,?,0.95,100024,<rdkit.Chem.rdchem.Mol object at 0x2b7b598831c0>,CNC(=O)Oc1cccc2ccccc12
100025,66-81-9,66-81-9,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,CYCLOHEXIMIDE,Cycloheximide,"4-{(2R)-2-[(1S,3S,5S)-3,5-dimethyl-2-oxocyclohexyl]-2-hydroxyethyl}piperidine-2,6-dione",97957,DTXSID6024882,CC1CC(C(O)CC2CC(=O)NC(=O)C2)C(=O)C(C)C1,"InChI=1S/C15H23NO4/c1-8-3-9(2)15(20)11(4-8)12(17)5-10-6-13(18)16-14(19)7-10/h8-12,17H,3-7H2,1-2H3,(H,16,18,19)",YPHMISFOHDHNIV-UHFFFAOYSA-N,?,0.45,100025,<rdkit.Chem.rdchem.Mol object at 0x2b7b598833a0>,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
100027,67-68-5,67-68-5,CS(C)=O,DIMETHYL SULFOXIDE,Dimethyl sulfoxide,C2H6OS,97959,DTXSID2021735,CS(C)=O,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,?,0.6,100027,<rdkit.Chem.rdchem.Mol object at 0x2b7b598830a0>,CS(C)=O
100028,67-72-1,67-72-1,ClC(Cl)(Cl)C(Cl)(Cl)Cl,HEXACHLOROETHANE,Hexachloroethane,hexachloroethane,97960,DTXSID7020689,ClC(Cl)(Cl)C(Cl)(Cl)Cl,"InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8",VHHHONWQHHHLTI-UHFFFAOYSA-N,?,2.71,100028,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883460>,ClC(Cl)(Cl)C(Cl)(Cl)Cl
100029,68-12-2,68-12-2,O=CN(C)C,"N,N'-DIMETHYLFORMAMIDE","N,N-Dimethylformamide","N,N-dimethylformamide",97961,DTXSID6020515,CN(C)C=O,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",ZMXDDKWLCZADIW-UHFFFAOYSA-N,?,-0.1,100029,<rdkit.Chem.rdchem.Mol object at 0x2b7b598834c0>,CN(C)C=O
100031,71-43-2,71-43-2,c1ccccc1,BENZENE,Benzene,benzene,97963,DTXSID3039242,c1ccccc1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N,?,0.63,100031,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883520>,c1ccccc1
100032,71-55-6,71-55-6,CC(Cl)(Cl)Cl,"1,1,1-TRICHLOROETHANE","1,1,1-Trichloroethane","1,1,1-trichloroethane",97964,DTXSID0021381,CC(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",UOCLXMDMGBRAIB-UHFFFAOYSA-N,?,0.7,100032,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883580>,CC(Cl)(Cl)Cl
100034,72-43-5,72-43-5,COc1ccc(cc1)C(c1ccc(cc1)OC)C(Cl)(Cl)Cl,METHOXYCHLOR,Methoxychlor,"1,1'-(2,2,2-trichloroethane-1,1-diyl)bis(4-methoxybenzene)",97966,DTXSID9020827,COc1ccc(cc1)C(c1ccc(cc1)OC)C(Cl)(Cl)Cl,"InChI=1S/C16H15Cl3O2/c1-20-13-7-3-11(4-8-13)15(16(17,18)19)12-5-9-14(21-2)10-6-12/h3-10,15H,1-2H3",IAKOZHOLGAGEJT-UHFFFAOYSA-N,?,2.5,100034,<rdkit.Chem.rdchem.Mol object at 0x2b7b598835e0>,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
100036,74-31-7,74-31-7,N(c(ccc(Nc(cccc1)c1)c2)c2)c(cccc3)c3,"N,N'-DIPHENYL-P-BENZENEDIAMINE","N,N'-Diphenyl-p-phenylenediamine","N,N'-diphenylbenzene-1,4-diamine",97968,DTXSID9020538,c1cc(ccc1Nc1ccccc1)Nc1ccccc1,"InChI=1S/C18H16N2/c1-3-7-15(8-4-1)19-17-11-13-18(14-12-17)20-16-9-5-2-6-10-16/h1-14,19-20H",UTGQNNCQYDRXCH-UHFFFAOYSA-N,?,3.12,100036,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883640>,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1
100037,74-97-5,74-97-5,ClCBr,CHLOROBROMOMETHANE,Bromochloromethane,bromo(chloro)methane,97969,DTXSID4021503,ClCBr,InChI=1S/CH2BrCl/c2-1-3/h1H2,JPOXNPPZZKNXOV-UHFFFAOYSA-N,?,0.6,100037,<rdkit.Chem.rdchem.Mol object at 0x2b7b598836a0>,ClCBr
100038,75-09-2,75-09-2,ClCCl,DICHLOROMETHANE,Dichloromethane,dichloromethane,97970,DTXSID0020868,ClCCl,InChI=1S/CH2Cl2/c2-1-3/h1H2,YMWUJEATGCHHMB-UHFFFAOYSA-N,?,1.36,100038,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883700>,ClCCl
100040,75-25-2,75-25-2,BrC(Br)Br,BROMOFORM,Bromoform,tribromomethane,97972,DTXSID1021374,BrC(Br)Br,InChI=1S/CHBr3/c2-1(3)4/h1H,DIKBFYAXUHHXCS-UHFFFAOYSA-N,?,1.13,100040,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883760>,BrC(Br)Br
100041,75-35-4,75-35-4,C=C(Cl)Cl,"1,1-DICHLOROETHENE","1,1-Dichloroethylene","1,1-dichloroethene",97973,DTXSID8021438,C=C(Cl)Cl,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,LGXVIGDEPROXKC-UHFFFAOYSA-N,?,1.11,100041,<rdkit.Chem.rdchem.Mol object at 0x2b7b598837c0>,C=C(Cl)Cl
100042,75-65-0,75-65-0,CC(C)(C)O,T-BUTANOL,tert-Butyl alcohol,2-methylpropan-2-ol,97974,DTXSID8020204,CC(C)(C)O,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",DKGAVHZHDRPRBM-UHFFFAOYSA-N,?,0.7,100042,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883820>,CC(C)(C)O
100044,75-98-9,75-98-9,O=C(O)C(C)(C)C,"2,2-Dimethyl propanoic acid","2,2-Dimethylpropanoic acid","2,2-dimethylpropanoic acid",97976,DTXSID8026432,CC(C)(C)C(O)=O,"InChI=1S/C5H10O2/c1-5(2,3)4(6)7/h1-3H3,(H,6,7)",IUGYQRQAERSCNH-UHFFFAOYSA-N,?,0.36,100044,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883880>,CC(C)(C)C(=O)O
100045,76-03-9,76-03-9,OC(=O)C(Cl)(Cl)Cl,TRICHLOROACETIC ACID,Trichloroacetic acid,trichloroacetic acid,97977,DTXSID1021378,OC(=O)C(Cl)(Cl)Cl,"InChI=1S/C2HCl3O2/c3-2(4,5)1(6)7/h(H,6,7)",YNJBWRMUSHSURL-UHFFFAOYSA-N,?,0.23,100045,<rdkit.Chem.rdchem.Mol object at 0x2b7b598838e0>,O=C(O)C(Cl)(Cl)Cl
100046,76-12-0,76-12-0,FC(C(F)(Cl)Cl)(Cl)Cl,"1,1,2,2,-TETRACHLORODIFLUOROETHANE","1,2-Difluoro-1,1,2,2-tetrachloroethane","1,1,2,2-tetrachloro-1,2-difluoroethane",97978,DTXSID5026091,FC(Cl)(Cl)C(F)(Cl)Cl,"InChI=1S/C2Cl4F2/c3-1(4,7)2(5,6)8",UGCSPKPEHQEOSR-UHFFFAOYSA-N,?,1.77,100046,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883940>,FC(Cl)(Cl)C(F)(Cl)Cl
100048,76-44-8,76-44-8,ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,HEPTACHLOR,Heptachlor,"1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-1H-4,7-methanoindene",97980,DTXSID3020679,ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,"InChI=1S/C10H5Cl7/c11-4-2-1-3-5(4)9(15)7(13)6(12)8(3,14)10(9,16)17/h1-5H",FRCCEHPWNOQAEU-UHFFFAOYSA-N,?,3.94,100048,<rdkit.Chem.rdchem.Mol object at 0x2b7b598839a0>,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
100049,76-83-5,76-83-5,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,"BENZENE, 1,1',1''-(CHLOROMETHYLIDYNE)TRIS-",Trityl chloride,"1,1',1''-(chloromethanetriyl)tribenzene",97981,DTXSID3052511,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,"InChI=1S/C19H15Cl/c20-19(16-10-4-1-5-11-16,17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H",JBWKIWSBJXDJDT-UHFFFAOYSA-N,?,2.63,100049,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883a00>,ClC(c1ccccc1)(c1ccccc1)c1ccccc1
100050,76-93-7,76-93-7,OC(=O)C(O)(c1ccccc1)c1ccccc1,BENZILIC ACID,Benzilic acid,"2-hydroxy-2,2-di(phenyl)acetic acid",97982,DTXSID0058805,OC(=O)C(O)(c1ccccc1)c1ccccc1,"InChI=1S/C14H12O3/c15-13(16)14(17,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10,17H,(H,15,16)",UKXSKSHDVLQNKG-UHFFFAOYSA-N,?,0.26,100050,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883a60>,O=C(O)C(O)(c1ccccc1)c1ccccc1
100053,78-40-0,78-40-0,CCOP(=O)(OCC)OCC,TRIETHYL PHOSPHATE,Triethyl phosphate,triethyl phosphate,97984,DTXSID8026228,CCOP(=O)(OCC)OCC,"InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3",DQWPFSLDHJDLRL-UHFFFAOYSA-N,?,0.11,100053,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883ac0>,CCOP(=O)(OCC)OCC
100054,78-42-2,78-42-2,CCCCC(COP(=O)(OCC(CCCC)CC)OCC(CCCC)CC)CC,TRIS(2-ETHYLHEXYL) PHOSPHATE,Tris(2-ethylhexyl) phosphate,tris(2-ethylhexyl) phosphate,97985,DTXSID0021414,CCCCC(COP(=O)(OCC(CCCC)CC)OCC(CCCC)CC)CC,"InChI=1S/C24H51O4P/c1-7-13-16-22(10-4)19-26-29(25,27-20-23(11-5)17-14-8-2)28-21-24(12-6)18-15-9-3/h22-24H,7-21H2,1-6H3",GTVWRXDRKAHEAD-UHFFFAOYSA-N,?,1.7,100054,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883b20>,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
100055,78-51-3,78-51-3,O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC,TRI-2-BUTOXYETHYL PHOSPHATE,Tris(2-butoxyethyl) phosphate,tris(2-butoxyethyl) phosphate,97986,DTXSID5021758,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,"InChI=1S/C18H39O7P/c1-4-7-10-20-13-16-23-26(19,24-17-14-21-11-8-5-2)25-18-15-22-12-9-6-3/h4-18H2,1-3H3",WTLBZVNBAKMVDP-UHFFFAOYSA-N,?,0.76,100055,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883b80>,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
100057,78-63-7,78-63-7,O(OC(C)(C)C)C(CCC(OOC(C)(C)C)(C)C)(C)C,Varox,"2,5-Dimethyl-2,5-di-(tert-butylperoxy)hexane","2,5-bis(tert-butylperoxy)-2,5-dimethylhexane",97988,DTXSID9025110,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,"InChI=1S/C16H34O4/c1-13(2,3)17-19-15(7,8)11-12-16(9,10)20-18-14(4,5)6/h11-12H2,1-10H3",DMWVYCCGCQPJEA-UHFFFAOYSA-N,?,3.48,100057,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883be0>,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
100058,78-79-5,78-79-5,CC(=C)C=C,"2-METHYL-1,3-BUTADIENE",Isoprene,"2-methylbuta-1,3-diene",97989,DTXSID2020761,CC(=C)C=C,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",RRHGJUQNOFWUDK-UHFFFAOYSA-N,?,1.3,100058,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883c40>,C=CC(=C)C
100059,78-87-5,78-87-5,CC(Cl)CCl,"1,2-DICHLOROPROPANE","1,2-Dichloropropane","1,2-dichloropropane",97990,DTXSID0020448,CC(Cl)CCl,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",KNKRKFALVUDBJE-UHFFFAOYSA-N,?,0.85,100059,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883ca0>,CC(Cl)CCl
100061,79-01-6,79-01-6,ClC=C(Cl)Cl,TRICHLOROETHENE,Trichloroethylene,"1,1,2-trichloroethene",97992,DTXSID0021383,ClC=C(Cl)Cl,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,XSTXAVWGXDQKEL-UHFFFAOYSA-N,?,1.2,100061,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883d00>,ClC=C(Cl)Cl
100062,79-27-6,79-27-6,BrC(Br)C(Br)Br,"1,1,2,2-TETRABROMOETHANE","1,1,2,2-Tetrabromoethane","1,1,2,2-tetrabromoethane",97993,DTXSID1026083,BrC(Br)C(Br)Br,InChI=1S/C2H2Br4/c3-1(4)2(5)6/h1-2H,QXSZNDIIPUOQMB-UHFFFAOYSA-N,?,0.74,100062,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883d60>,BrC(Br)C(Br)Br
100063,79-34-5,79-34-5,ClC(Cl)C(Cl)Cl,"1,1,2,2-TETRACHLOROETHANE","1,1,2,2-Tetrachloroethane","1,1,2,2-tetrachloroethane",97994,DTXSID7021318,ClC(Cl)C(Cl)Cl,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,QPFMBZIOSGYJDE-UHFFFAOYSA-N,?,1.11,100063,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883dc0>,ClC(Cl)C(Cl)Cl
100065,79-92-5,79-92-5,CC1(C)C2CC(CC2)C1=C,CAMPHENE,Camphene,C10H16,97996,DTXSID8026488,CC1(C)C2CC(CC2)C1=C,"InChI=1S/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3",CRPUJAZIXJMDBK-UHFFFAOYSA-N,?,2.98,100065,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883e20>,C=C1C2CCC(C2)C1(C)C
100066,79-94-7,79-94-7,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,"2,2-BIS(4-HYDROXY-3,5-DIBROMOPHENYL)PROPANE","3,3',5,5'-Tetrabromobisphenol A","4,4'-propane-2,2-diylbis(2,6-dibromophenol)",97997,DTXSID1026081,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,"InChI=1S/C15H12Br4O2/c1-15(2,7-3-9(16)13(20)10(17)4-7)8-5-11(18)14(21)12(19)6-8/h3-6,20-21H,1-2H3",VEORPZCZECFIRK-UHFFFAOYSA-N,?,2.43,100066,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883e80>,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
100067,80-05-7,80-05-7,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,DIPHENYLOLPROPANE,Bisphenol A,"4,4'-propane-2,2-diyldiphenol",97998,DTXSID7020182,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",IISBACLAFKSPIT-UHFFFAOYSA-N,?,1.64,100067,<rdkit.Chem.rdchem.Mol object at 0x2b7b59883ee0>,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
