ChemID,source_casrn,CAS,SMILES,NAME,preferred_name,iupac,MPID,dsstox_substance_id,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,LogKOC,ID,mol,isosmiles
100014,56-49-5,56-49-5,Cc1ccc2cc3c(ccc4ccccc43)c3CCc1c32,3-METHYLCHOLANTHRENE,3-Methylcholanthrene,"3-methyl-1,2-dihydrocyclopenta[ij]tetraphene",99291,DTXSID0020862,Cc1ccc2cc3c(ccc4ccccc43)c3CCc1c32,"InChI=1S/C21H16/c1-13-6-7-15-12-20-17-5-3-2-4-14(17)8-9-18(20)19-11-10-16(13)21(15)19/h2-9,12H,10-11H2,1H3",PPQNQXQZIWHJRB-UHFFFAOYSA-N,6.1,100014,<rdkit.Chem.rdchem.Mol object at 0x2ae48d7358e0>,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3
100015,56-53-1,56-53-1,CC/C(/c1ccc(O)cc1)=C(/CC)\c1ccc(O)cc1,DES,Diethylstilbestrol,"4,4'-(3E)-hex-3-ene-3,4-diyldiphenol",99292,DTXSID3020465,CCC(c1ccc(O)cc1)=C(CC)c1ccc(O)cc1,"InChI=1S/C18H20O2/c1-3-17(13-5-9-15(19)10-6-13)18(4-2)14-7-11-16(20)12-8-14/h5-12,19-20H,3-4H2,1-2H3/b18-17+",RGLYKWWBQGJZGM-ISLYRVAYSA-N,4.14,100015,<rdkit.Chem.rdchem.Mol object at 0x2ae48d735b80>,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
100017,57-13-6,57-13-6,NC(N)=O,UREA,Urea,urea,99294,DTXSID4021426,NC(N)=O,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",XSQUKJJJFZCRTK-UHFFFAOYSA-N,0.15,100017,<rdkit.Chem.rdchem.Mol object at 0x2ae48d735880>,NC(N)=O
100018,57-55-6,57-55-6,CC(O)CO,"1,2-PROPANEDIOL","1,2-Propylene glycol","propane-1,2-diol",99295,DTXSID0021206,CC(O)CO,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3",DNIAPMSPPWPWGF-UHFFFAOYSA-N,0.36,100018,<rdkit.Chem.rdchem.Mol object at 0x2ae48d735e20>,CC(O)CO
100019,57-74-9,57-74-9,ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,CHLORDANE,Chlordane,C10H6Cl8,99296,DTXSID7020267,ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,"InChI=1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2",BIWJNBZANLAXMG-UHFFFAOYSA-N,4.78,100019,<rdkit.Chem.rdchem.Mol object at 0x2ae48d735940>,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
100021,58-89-9|319-84-6,58-89-9|319-84-6,"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|","GAMMA-HEXACHLOROCYCLOHEXANE, ALPHA-HEXACHLOROCYCLOHEXANE",Lindane,,99298|99585,DTXSID2020686|DTXSID2020684,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,3.17,100021,<rdkit.Chem.rdchem.Mol object at 0x2ae48d735f40>,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
100022,58-90-2,58-90-2,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,"2,3,4,6-TETRACHLOROPHENOL","2,3,4,6-Tetrachlorophenol","2,3,4,6-tetrachlorophenol",99299,DTXSID9021716,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,"InChI=1S/C6H2Cl4O/c7-2-1-3(8)6(11)5(10)4(2)9/h1,11H",VGVRPFIJEJYOFN-UHFFFAOYSA-N,3.35,100022,<rdkit.Chem.rdchem.Mol object at 0x2ae48d735d00>,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
100023,60-09-3,60-09-3,Nc1ccc(cc1)/N=N/c1ccccc1,P-PHENYLAZOANILINE,4-Aminoazobenzene,4-[(E)-phenyldiazenyl]aniline,99300,DTXSID6024460,Nc1ccc(cc1)N=Nc1ccccc1,"InChI=1S/C12H11N3/c13-10-6-8-12(9-7-10)15-14-11-4-2-1-3-5-11/h1-9H,13H2/b15-14+",QPQKUYVSJWQSDY-CCEZHUSRSA-N,2.79,100023,<rdkit.Chem.rdchem.Mol object at 0x2ae48d735ee0>,Nc1ccc(/N=N/c2ccccc2)cc1
100025,60-12-8,60-12-8,OCCc1ccccc1,2-PHENYLETHANOL,2-Phenylethanol,2-phenylethanol,99302,DTXSID9026342,OCCc1ccccc1,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",WRMNZCZEMHIOCP-UHFFFAOYSA-N,1.5,100025,<rdkit.Chem.rdchem.Mol object at 0x2ae48d735a60>,OCCc1ccccc1
100026,60-35-5,60-35-5,CC(N)=O,ACETAMIDE,Acetamide,acetamide,99303,DTXSID7020005,CC(N)=O,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.7,100026,<rdkit.Chem.rdchem.Mol object at 0x2ae48d735fa0>,CC(N)=O
100027,60-51-5,60-51-5,CNC(=O)CSP(=S)(OC)OC,DIMETHOATE,Dimethoate,"O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",99304,DTXSID7020479,CNC(=O)CSP(=S)(OC)OC,"InChI=1S/C5H12NO3PS2/c1-6-5(7)4-12-10(11,8-2)9-3/h4H2,1-3H3,(H,6,7)",MCWXGJITAZMZEV-UHFFFAOYSA-N,1.2,100027,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894040>,CNC(=O)CSP(=S)(OC)OC
100029,61-82-5,61-82-5,Nc1[n]c[nH][n]1,AMITROLE,Amitrole,"1H-1,2,4-triazol-3-amine",99306,DTXSID0020076,Nc1[n]c[nH][n]1,"InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)",KLSJWNVTNUYHDU-UHFFFAOYSA-N,1.25,100029,<rdkit.Chem.rdchem.Mol object at 0x2ae48d8940a0>,Nc1nc[nH]n1
100030,62-53-3,62-53-3,Nc1ccccc1,ANILINE,Aniline,aniline,99307,DTXSID8020090,Nc1ccccc1,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",PAYRUJLWNCNPSJ-UHFFFAOYSA-N,1.6,100030,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894100>,Nc1ccccc1
100031,62-55-5,62-55-5,CC(N)=S,THIOACETAMIDE,Thioacetamide,ethanethioamide,99308,DTXSID9021340,CC(N)=S,"InChI=1S/C2H5NS/c1-2(3)4/h1H3,(H2,3,4)",YUKQRDCYNOVPGJ-UHFFFAOYSA-N,0.78,100031,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894160>,CC(N)=S
100033,62-73-7,62-73-7,COP(=O)(OC=C(Cl)Cl)OC,DICHLORVOS,Dichlorvos,"2,2-dichloroethenyl dimethyl phosphate",99310,DTXSID5020449,COP(=O)(OC=C(Cl)Cl)OC,"InChI=1S/C4H7Cl2O4P/c1-8-11(7,9-2)10-3-4(5)6/h3H,1-2H3",OEBRKCOSUFCWJD-UHFFFAOYSA-N,1.67,100033,<rdkit.Chem.rdchem.Mol object at 0x2ae48d8941c0>,COP(=O)(OC)OC=C(Cl)Cl
100034,63-25-2,63-25-2,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC,1-NAPHTHYL-N-METHYLCARBAMATE,Carbaryl,naphthalen-1-yl methylcarbamate,99311,DTXSID9020247,CNC(=O)Oc1cccc2ccccc21,"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)",CVXBEEMKQHEXEN-UHFFFAOYSA-N,2.4,100034,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894220>,CNC(=O)Oc1cccc2ccccc12
100035,63-99-0,63-99-0,Cc1cc(ccc1)NC(N)=O,M-TOLYLUREA,"Urea, (3-methylphenyl)-",(3-Methylphenyl)urea,99312,DTXSID1075351,Cc1cc(ccc1)NC(N)=O,"InChI=1S/C8H10N2O/c1-6-3-2-4-7(5-6)10-8(9)11/h2-5H,1H3,(H3,9,10,11)",UVQVMNIYFXZXCI-UHFFFAOYSA-N,1.56,100035,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894280>,Cc1cccc(NC(N)=O)c1
100037,64-17-5,64-17-5,CCO,ETHANOL,Ethanol,ethanol,99314,DTXSID9020584,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N,0.2,100037,<rdkit.Chem.rdchem.Mol object at 0x2ae48d8942e0>,CCO
100038,64-19-7,64-19-7,CC(O)=O,ACETIC ACID,Acetic acid,acetic acid,99315,DTXSID5024394,CC(O)=O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.0,100038,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894340>,CC(=O)O
100039,65-85-0,65-85-0,OC(=O)c1ccccc1,BENZOIC ACID,Benzoic acid,benzoic acid,99316,DTXSID6020143,OC(=O)c1ccccc1,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N,1.5,100039,<rdkit.Chem.rdchem.Mol object at 0x2ae48d8943a0>,O=C(O)c1ccccc1
100041,67-56-1,67-56-1,CO,METHANOL,Methanol,methanol,99318,DTXSID2021731,CO,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N,0.44,100041,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894400>,CO
100042,67-66-3,67-66-3,ClC(Cl)Cl,CHLOROFORM,Chloroform,trichloromethane,99319,DTXSID1020306,ClC(Cl)Cl,InChI=1S/CHCl3/c2-1(3)4/h1H,HEDRZPFGACZZDS-UHFFFAOYSA-N,1.6,100042,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894460>,ClC(Cl)Cl
100043,71-23-8,71-23-8,CCCO,1-PROPANOL,1-Propanol,propan-1-ol,99320,DTXSID2021739,CCCO,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",BDERNNFJNOPAEC-UHFFFAOYSA-N,0.48,100043,<rdkit.Chem.rdchem.Mol object at 0x2ae48d8944c0>,CCCO
100045,71-41-0,71-41-0,CCCCCO,1-PENTANOL,1-Pentanol,pentan-1-ol,99322,DTXSID6021741,CCCCCO,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",AMQJEAYHLZJPGS-UHFFFAOYSA-N,0.7,100045,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894520>,CCCCCO
100046,71-43-2,71-43-2,c1ccccc1,BENZENE,Benzene,benzene,99323,DTXSID3039242,c1ccccc1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N,1.75,100046,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894580>,c1ccccc1
100047,71-55-6,71-55-6,CC(Cl)(Cl)Cl,"1,1,1-TRICHLOROETHANE","1,1,1-Trichloroethane","1,1,1-trichloroethane",99324,DTXSID0021381,CC(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",UOCLXMDMGBRAIB-UHFFFAOYSA-N,1.95,100047,<rdkit.Chem.rdchem.Mol object at 0x2ae48d8945e0>,CC(Cl)(Cl)Cl
100050,72-54-8,72-54-8,ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"P,P'-DDD","p,p'-DDD","1,1'-(2,2-dichloroethane-1,1-diyl)bis(4-chlorobenzene)",99327,DTXSID4020373,ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"InChI=1S/C14H10Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8,13-14H",AHJKRLASYNVKDZ-UHFFFAOYSA-N,4.21,100050,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894640>,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
100051,72-55-9,72-55-9,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"P,P'-DDE","p,p'-DDE","1,1'-(2,2-dichloroethene-1,1-diyl)bis(4-chlorobenzene)",99328,DTXSID9020374,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,InChI=1S/C14H8Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8H,UCNVFOCBFJOQAL-UHFFFAOYSA-N,4.82,100051,<rdkit.Chem.rdchem.Mol object at 0x2ae48d8946a0>,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
100052,74-83-9,74-83-9,CBr,METHYL BROMIDE,Methyl bromide,bromomethane,99329,DTXSID8020832,CBr,InChI=1S/CH3Br/c1-2/h1H3,GZUXJHMPEANEGY-UHFFFAOYSA-N,1.34,100052,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894700>,CBr
100054,75-15-0,75-15-0,S=C=S,CARBON DISULFIDE,Carbon disulfide,methanedithione,99331,DTXSID6023947,S=C=S,InChI=1S/CS2/c2-1-3,QGJOPFRUJISHPQ-UHFFFAOYSA-N,2.34,100054,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894760>,S=C=S
100055,75-25-2,75-25-2,BrC(Br)Br,BROMOFORM,Bromoform,tribromomethane,99332,DTXSID1021374,BrC(Br)Br,InChI=1S/CHBr3/c2-1(3)4/h1H,DIKBFYAXUHHXCS-UHFFFAOYSA-N,2.06,100055,<rdkit.Chem.rdchem.Mol object at 0x2ae48d8947c0>,BrC(Br)Br
100056,75-27-4,75-27-4,ClC(Cl)Br,BROMODICHLOROMETHANE,Bromodichloromethane,bromo(dichloro)methane,99333,DTXSID1020198,ClC(Cl)Br,InChI=1S/CHBrCl2/c2-1(3)4/h1H,FMWLUWPQPKEARP-UHFFFAOYSA-N,1.78,100056,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894820>,ClC(Cl)Br
100058,75-35-4,75-35-4,C=C(Cl)Cl,"1,1-DICHLOROETHENE","1,1-Dichloroethylene","1,1-dichloroethene",99335,DTXSID8021438,C=C(Cl)Cl,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,LGXVIGDEPROXKC-UHFFFAOYSA-N,1.81,100058,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894880>,C=C(Cl)Cl
100059,75-60-5,75-60-5,C[As](C)(O)=O,CACODYLIC ACID,Dimethylarsinic acid,dimethylarsinic acid,99336,DTXSID7020508,C[As](C)(O)=O,"InChI=1S/C2H7AsO2/c1-3(2,4)5/h1-2H3,(H,4,5)",OGGXGZAMXPVRFZ-UHFFFAOYSA-N,3.0,100059,<rdkit.Chem.rdchem.Mol object at 0x2ae48d8948e0>,C[As](C)(=O)O
100060,75-99-0,75-99-0,CC(Cl)(Cl)C(O)=O,DALAPON,Dalapon,"2,2-dichloropropanoic acid",99337,DTXSID2021575,CC(Cl)(Cl)C(O)=O,"InChI=1S/C3H4Cl2O2/c1-3(4,5)2(6)7/h1H3,(H,6,7)",NDUPDOJHUQKPAG-UHFFFAOYSA-N,0.4,100060,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894940>,CC(Cl)(Cl)C(=O)O
100062,76-06-2,76-06-2,[O-][N+](=O)C(Cl)(Cl)Cl,TRICHLORONITROMETHANE,Chloropicrin,trichloro(nitro)methane,99339,DTXSID0020315,[O-][N+](=O)C(Cl)(Cl)Cl,"InChI=1S/CCl3NO2/c2-1(3,4)5(6)7",LFHISGNCFUNFFM-UHFFFAOYSA-N,1.79,100062,<rdkit.Chem.rdchem.Mol object at 0x2ae48d8949a0>,O=[N+]([O-])C(Cl)(Cl)Cl
100063,76-44-8,76-44-8,ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,HEPTACHLOR,Heptachlor,"1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-1H-4,7-methanoindene",99340,DTXSID3020679,ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,"InChI=1S/C10H5Cl7/c11-4-2-1-3-5(4)9(15)7(13)6(12)8(3,14)10(9,16)17/h1-5H",FRCCEHPWNOQAEU-UHFFFAOYSA-N,4.38,100063,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894a00>,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
100064,78-48-8,78-48-8,CCCCSP(=O)(SCCCC)SCCCC,TRIBUFOS,Tribufos,"S,S,S-tributyl phosphorotrithioate",99341,DTXSID1024174,CCCCSP(=O)(SCCCC)SCCCC,"InChI=1S/C12H27OPS3/c1-4-7-10-15-14(13,16-11-8-5-2)17-12-9-6-3/h4-12H2,1-3H3",ZOKXUAHZSKEQSS-UHFFFAOYSA-N,3.7,100064,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894a60>,CCCCSP(=O)(SCCCC)SCCCC
100066,78-87-5,78-87-5,CC(Cl)CCl,"1,2-DICHLOROPROPANE","1,2-Dichloropropane","1,2-dichloropropane",99343,DTXSID0020448,CC(Cl)CCl,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",KNKRKFALVUDBJE-UHFFFAOYSA-N,1.67,100066,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894ac0>,CC(Cl)CCl
100067,79-00-5,79-00-5,ClCC(Cl)Cl,"1,1,2-TRICHLOROETHANE","1,1,2-Trichloroethane","1,1,2-trichloroethane",99344,DTXSID5021380,ClCC(Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",UBOXGVDOUJQMTN-UHFFFAOYSA-N,1.89,100067,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894b20>,ClCC(Cl)Cl
100068,79-01-6,79-01-6,ClC=C(Cl)Cl,TRICHLOROETHENE,Trichloroethylene,"1,1,2-trichloroethene",99345,DTXSID0021383,ClC=C(Cl)Cl,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,XSTXAVWGXDQKEL-UHFFFAOYSA-N,2.0,100068,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894b80>,ClC=C(Cl)Cl
100070,79-34-5,79-34-5,ClC(Cl)C(Cl)Cl,"1,1,2,2-TETRACHLOROETHANE","1,1,2,2-Tetrachloroethane","1,1,2,2-tetrachloroethane",99347,DTXSID7021318,ClC(Cl)C(Cl)Cl,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,QPFMBZIOSGYJDE-UHFFFAOYSA-N,1.9,100070,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894be0>,ClC(Cl)C(Cl)Cl
100071,81-81-2,81-81-2,CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c1ccccc1,WARFARIN,Warfarin,4-hydroxy-3-(3-oxo-1-phenylbutyl)-2H-chromen-2-one,99348,DTXSID5023742,CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c1ccccc1,"InChI=1S/C19H16O4/c1-12(20)11-15(13-7-3-2-4-8-13)17-18(21)14-9-5-6-10-16(14)23-19(17)22/h2-10,15,21H,11H2,1H3",PJVWKTKQMONHTI-UHFFFAOYSA-N,2.96,100071,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894c40>,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
100072,82-28-0,82-28-0,Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,"1-AMINO-2-METHYL-9,10-ANTHRACENEDIONE",1-Amino-2-methylanthraquinone,"1-amino-2-methylanthracene-9,10-dione",99349,DTXSID7020057,Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,"InChI=1S/C15H11NO2/c1-8-6-7-11-12(13(8)16)15(18)10-5-3-2-4-9(10)14(11)17/h2-7H,16H2,1H3",ZLCUIOWQYBYEBG-UHFFFAOYSA-N,3.9,100072,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894ca0>,Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O
100074,83-32-9,83-32-9,C1Cc2cccc3cccc1c23,ACENAPHTHENE,Acenaphthene,"1,2-dihydroacenaphthylene",99351,DTXSID3021774,C1Cc2cccc3cccc1c23,"InChI=1S/C12H10/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-6H,7-8H2",CWRYPZZKDGJXCA-UHFFFAOYSA-N,3.59,100074,<rdkit.Chem.rdchem.Mol object at 0x2ae48d894d00>,c1cc2c3c(cccc3c1)CC2
