ChemID,source_casrn,CAS,SMILES,NAME,preferred_name,iupac,MPID,dsstox_substance_id,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,Salt_Solvent,Salt_Solvent_ID,MP,ID
100049,50-89-5,50-89-5,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,THYMIDINE,Thymidine,"2'-deoxy-3,4-dihydrothymidine",27465,DTXSID5023661,CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O,"InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)",IQFYYKKMVGJFEH-UHFFFAOYSA-N,?,,186.5,100049
100055,51-12-7,51-12-7,O=C(CCNNC(=O)c1cc[n]cc1)NCc1ccccc1,NIALAMIDE,Nialamide,N-benzyl-3-[2-(pyridin-4-ylcarbonyl)hydrazinyl]propanamide,27469,DTXSID1023362,O=C(CCNNC(=O)c1cc[n]cc1)NCc1ccccc1,"InChI=1S/C16H18N4O2/c21-15(18-12-13-4-2-1-3-5-13)8-11-19-20-16(22)14-6-9-17-10-7-14/h1-7,9-10,19H,8,11-12H2,(H,18,21)(H,20,22)",NOIIUHRQUVNIDD-UHFFFAOYSA-N,?,,151.6,100055
100059,51-24-1,51-24-1,Oc1ccc(cc1I)Oc1c(I)cc(CC(O)=O)cc1I,Tiratricol,Tiratricol,"[4-(4-hydroxy-3-iodophenoxy)-3,5-diiodophenyl]acetic acid",27473,DTXSID2045232,Oc1ccc(cc1I)Oc1c(I)cc(CC(O)=O)cc1I,"InChI=1S/C14H9I3O4/c15-9-6-8(1-2-12(9)18)21-14-10(16)3-7(4-11(14)17)5-13(19)20/h1-4,6,18H,5H2,(H,19,20)",UOWZUVNAGUAEQC-UHFFFAOYSA-N,?,,181.5,100059
100064,51-36-5,51-36-5,OC(=O)c1cc(Cl)cc(Cl)c1,"3,5-DICHLOROBENZOIC ACID","3,5-Dichlorobenzoic acid","3,5-dichlorobenzoic acid",27477,DTXSID4024981,OC(=O)c1cc(Cl)cc(Cl)c1,"InChI=1S/C7H4Cl2O2/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3H,(H,10,11)",CXKCZFDUOYMOOP-UHFFFAOYSA-N,?,,188.0,100064
100068,51-48-9,51-48-9,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(O)=O,THYROXINE,Levothyroxine,"O-(4-hydroxy-3,5-diiodophenyl)-3,5-diiodo-L-tyrosine",27481,DTXSID8023214,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(O)=O,"InChI=1S/C15H11I4NO4/c16-8-4-7(5-9(17)13(8)21)24-14-10(18)1-6(2-11(14)19)3-12(20)15(22)23/h1-2,4-5,12,21H,3,20H2,(H,22,23)",XUIIKFGFIJCVMT-UHFFFAOYSA-N,?,,235.5,100068
100072,51-60-5,51-60-5,COS([O-])(=O)=O.CN(C)C(=O)Oc1cc(ccc1)[N+](C)(C)C,Neostigmine Methylsulfate [USAN:JAN],Neostigmine methylsulfate,[3-(dimethylcarbamoyloxy)phenyl]-trimethylazanium; methyl sulfate,27485,DTXSID40199003,CN(C)C(=O)Oc1cc(ccc1)[N+](C)(C)C,"InChI=1S/C12H19N2O2/c1-13(2)12(15)16-11-8-6-7-10(9-11)14(3,4)5/h6-9H,1-5H3/q+1",ALWKGYPQUAPLQC-UHFFFAOYSA-N,S(OC)([O-])(=O)=O,75.0,143.0,100072
100076,51-75-2,51-75-2,CN(CCCl)CCCl,Mechlorethamine,Nitrogen mustard,2-chloro-N-(2-chloroethyl)-N-methylethanamine,27489,DTXSID2020975,CN(CCCl)CCCl,"InChI=1S/C5H11Cl2N/c1-8(4-2-6)5-3-7/h2-5H2,1H3",HAWPXGHAZFHHAD-UHFFFAOYSA-N,?,,-60.0,100076
100080,52-24-4,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,THIOTEPA,Thiotepa,"1,1',1''-phosphorothioyltriaziridine",27493,DTXSID0021339,S=P(N1CC1)(N1CC1)N1CC1,"InChI=1S/C6H12N3PS/c11-10(7-1-2-7,8-3-4-8)9-5-6-9/h1-6H2",FOCVUCIESVLUNU-UHFFFAOYSA-N,?,,51.5,100080
100086,52-51-7,52-51-7,[O-][N+](=O)C(Br)(CO)CO,"1,3-Propanediol, 2-bromo-2-nitro-",Bronopol,"2-bromo-2-nitropropane-1,3-diol",27497,DTXSID8024652,[O-][N+](=O)C(Br)(CO)CO,"InChI=1S/C3H6BrNO4/c4-3(1-6,2-7)5(8)9/h6-7H,1-2H2",LVDKZNITIUWNER-UHFFFAOYSA-N,?,,131.5,100086
100091,52-85-7,52-85-7,CN(C)S(=O)(=O)c1ccc(cc1)OP(=S)(OC)OC,FAMPHUR,Famphur,"O-[4-(dimethylsulfamoyl)phenyl] O,O-dimethyl phosphorothioate",27501,DTXSID7041966,CN(C)S(=O)(=O)c1ccc(cc1)OP(=S)(OC)OC,"InChI=1S/C10H16NO5PS2/c1-11(2)19(12,13)10-7-5-9(6-8-10)16-17(18,14-3)15-4/h5-8H,1-4H3",JISACBWYRJHSMG-UHFFFAOYSA-N,?,,53.0,100091
100096,53-16-7,53-16-7,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CCC2=O,ESTRONE,Estrone,"3-hydroxyestra-1,3,5(10)-trien-17-one",27505,DTXSID4022367,CC12CCC3C(CCc4cc(O)ccc43)C1CCC2=O,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3",DNXHEGUUPJUMQT-UHFFFAOYSA-N,?,,260.2,100096
100100,53-39-4,53-39-4,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)OC[C@@]43C)[C@@H]1CC[C@]2(C)O,Oxandrolone,Oxandrolone,"(4aS,4bS,6aS,7S,9aS,9bR,11aS)-7-hydroxy-4a,6a,7-trimethyltetradecahydroindeno[4,5-h]isochromen-2(1H)-one",27509,DTXSID8023399,CC12CCC3C(CCC4CC(=O)OCC43C)C1CCC2(C)O,"InChI=1S/C19H30O3/c1-17-11-22-16(20)10-12(17)4-5-13-14(17)6-8-18(2)15(13)7-9-19(18,3)21/h12-15,21H,4-11H2,1-3H3",QSLJIVKCVHQPLV-UHFFFAOYSA-N,?,,236.5,100100
100104,53-70-3,53-70-3,c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,"DIBENZ(A,H)ANTHRACENE","Dibenz(a,h)anthracene",benzo[k]tetraphene,27513,DTXSID9020409,c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,InChI=1S/C22H14/c1-3-7-19-15(5-1)9-11-17-14-22-18(13-21(17)19)12-10-16-6-2-4-8-20(16)22/h1-14H,LHRCREOYAASXPZ-UHFFFAOYSA-N,?,,269.5,100104
100108,54-03-5,54-03-5,CN(CCN(C)CCCOC(=O)c1cc(OC)c(OC)c(c1)OC)CCCOC(=O)c1cc(OC)c(OC)c(c1)OC,Hexobendine,Hexobendine,"3-[methyl-[2-[methyl-[3-(3,4,5-trimethoxybenzoyl)oxypropyl]amino]ethyl]amino]propyl 3,4,5-trimethoxybenzoate",27517,DTXSID20202302,CN(CCN(C)CCCOC(=O)c1cc(OC)c(OC)c(c1)OC)CCCOC(=O)c1cc(OC)c(OC)c(c1)OC,"InChI=1S/C30H44N2O10/c1-31(11-9-15-41-29(33)21-17-23(35-3)27(39-7)24(18-21)36-4)13-14-32(2)12-10-16-42-30(34)22-19-25(37-5)28(40-8)26(20-22)38-6/h17-20H,9-16H2,1-8H3",KRQAMFQCSAJCRH-UHFFFAOYSA-N,?,,76.0,100108
100112,54-25-1,NOCAS_870387,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1N=CC(=O)NC1=O,6-AZAURIDINE,,,27521,DTXSID60870387,OCC1OC(C(O)C1O)N1N=CC(=O)NC1=O,"InChI=1S/C8H11N3O6/c12-2-3-5(14)6(15)7(17-3)11-8(16)10-4(13)1-9-11/h1,3,5-7,12,14-15H,2H2,(H,10,13,16)",WYXSYVWAUAUWLD-UHFFFAOYSA-N,?,,158.0,100112
100116,54-42-2,54-42-2,O[C@H]1C[C@@H](O[C@@H]1CO)N1C=C(I)C(=O)NC1=O,"URIDINE, 2'-DEOXY-5-IODO-",Idoxuridine,2'-deoxy-5-iodouridine,27524,DTXSID2045238,OC1CC(OC1CO)N1C=C(I)C(=O)NC1=O,"InChI=1S/C9H11IN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)",XQFRJNBWHJMXHO-UHFFFAOYSA-N,?,,263.0,100116
100120,54-80-8,54-80-8,CC(C)NCC(O)c1ccc2ccccc2c1,PRONETHALOL,Pronethalol,1-(naphthalen-2-yl)-2-(propan-2-ylamino)ethanol,27528,DTXSID8021193,CC(C)NCC(O)c1ccc2ccccc2c1,"InChI=1S/C15H19NO/c1-11(2)16-10-15(17)14-8-7-12-5-3-4-6-13(12)9-14/h3-9,11,15-17H,10H2,1-2H3",HRSANNODOVBCST-UHFFFAOYSA-N,?,,108.0,100120
100126,55-21-0,55-21-0,NC(=O)c1ccccc1,BENZAMIDE,Benzamide,benzamide,27532,DTXSID0021709,NC(=O)c1ccccc1,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)",KXDAEFPNCMNJSK-UHFFFAOYSA-N,?,,129.1,100126
100130,55-56-1,55-56-1,N=C(NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,CHLORHEXIDINE,Chlorhexidine,"N,N''''-hexane-1,6-diylbis[N'-(4-chlorophenyl)(imidodicarbonimidic diamide)]",27536,DTXSID2033314,N=C(NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,"InChI=1S/C22H30Cl2N10/c23-15-5-9-17(10-6-15)31-21(27)33-19(25)29-13-3-1-2-4-14-30-20(26)34-22(28)32-18-11-7-16(24)8-12-18/h5-12H,1-4,13-14H2,(H5,25,27,29,31,33)(H5,26,28,30,32,34)",GHXZTYHSJHQHIJ-UHFFFAOYSA-N,?,,134.0,100130
100135,55-86-7,55-86-7,Cl.CN(CCCl)CCCl,Mechlorethamine hydrochloride,Nitrogen mustard hydrochloride,2-chloro-N-(2-chloroethyl)-N-methylethanamine hydrochloride (1:1),27540,DTXSID8025757,CN(CCCl)CCCl,"InChI=1S/C5H11Cl2N/c1-8(4-2-6)5-3-7/h2-5H2,1H3",HAWPXGHAZFHHAD-UHFFFAOYSA-N,Cl,18179.0,109.0,100135
100140,56-05-3,56-05-3,Nc1[n]c(Cl)cc(Cl)[n]1,Py 11,"2-Amino-4,6-dichloropyrimidine","4,6-dichloropyrimidin-2-amine",27544,DTXSID2049420,Nc1[n]c(Cl)cc(Cl)[n]1,"InChI=1S/C4H3Cl2N3/c5-2-1-3(6)9-4(7)8-2/h1H,(H2,7,8,9)",JPZOAVGMSDSWSW-UHFFFAOYSA-N,?,,220.5,100140
100145,56-29-1,56-29-1,CN1C(O)=NC(=O)C(C)(C2CCCCC=2)C1=O,HEXABARITAL,Hexobarbital,"5-(cyclohex-1-en-1-yl)-2-hydroxy-1,5-dimethylpyrimidine-4,6(1H,5H)-dione",27548,DTXSID9023122,CN1C(O)=NC(=O)C(C)(C2CCCCC=2)C1=O,"InChI=1S/C12H16N2O3/c1-12(8-6-4-3-5-7-8)9(15)13-11(17)14(2)10(12)16/h6H,3-5,7H2,1-2H3,(H,13,15,17)",UYXAWHWODHRRMR-UHFFFAOYSA-N,?,,146.5,100145
100156,56-75-7,56-75-7,[O-][N+](=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,CHLORAMPHENICOL,Chloramphenicol,"2,2-dichloro-N-[(1R,2R)-1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide",27554,DTXSID7020265,[O-][N+](=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl,"InChI=1S/C11H12Cl2N2O5/c12-10(13)11(18)14-8(5-16)9(17)6-1-3-7(4-2-6)15(19)20/h1-4,8-10,16-17H,5H2,(H,14,18)",WIIZWVCIJKGZOK-UHFFFAOYSA-N,?,,150.5,100156
100161,56-95-1,56-95-1,CC(O)=O.CC(O)=O.N=C(NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,Chlorhexidine acetate,Chlorhexidine diacetate,"N,N''''-hexane-1,6-diylbis[N'-(4-chlorophenyl)(imidodicarbonimidic diamide)] acetate (1:2)",27558,DTXSID7032345,N=C(NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,"InChI=1S/C22H30Cl2N10/c23-15-5-9-17(10-6-15)31-21(27)33-19(25)29-13-3-1-2-4-14-30-20(26)34-22(28)32-18-11-7-16(24)8-12-18/h5-12H,1-4,13-14H2,(H5,25,27,29,31,33)(H5,26,28,30,32,34)",GHXZTYHSJHQHIJ-UHFFFAOYSA-N,C(=O)(O)C.C(=O)(O)C,6.0,154.5,100161
100165,57-09-0,57-09-0,[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C,Cetrimonium Bromide,Hexadecyltrimethylammonium bromide,"N,N,N-trimethylhexadecan-1-aminium bromide",27562,DTXSID5037028,CCCCCCCCCCCCCCCC[N+](C)(C)C,"InChI=1S/C19H42N/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4/h5-19H2,1-4H3/q+1",RLGQACBPNDBWTB-UHFFFAOYSA-N,[Br-],1731.0,240.0,100165
100169,57-14-7,57-14-7,CN(C)N,"1,1-DIMETHYLHYDRAZINE","1,1-Dimethylhydrazine","1,1-dimethylhydrazine",27566,DTXSID1020516,CN(C)N,"InChI=1S/C2H8N2/c1-4(2)3/h3H2,1-2H3",RHUYHJGZWVXEHW-UHFFFAOYSA-N,?,,-58.0,100169
100174,57-37-4,57-37-4,Cl.CCN(CCOC(=O)C(O)(c1ccccc1)c1ccccc1)CC,Benactyzine hydrochloride,Benactyzine hydrochloride,2-(diethylamino)ethyl hydroxy(diphenyl)acetate hydrochloride (1:1),27570,DTXSID8052774,CCN(CCOC(=O)C(O)(c1ccccc1)c1ccccc1)CC,"InChI=1S/C20H25NO3/c1-3-21(4-2)15-16-24-19(22)20(23,17-11-7-5-8-12-17)18-13-9-6-10-14-18/h5-14,23H,3-4,15-16H2,1-2H3",IVQOFBKHQCTVQV-UHFFFAOYSA-N,Cl,18179.0,178.0,100174
100178,57-44-3,57-44-3,CCC1(CC)C(=O)NC(=O)NC1=O,BARBITAL,Barbital,"5,5-diethylpyrimidine-2,4,6(1H,3H,5H)-trione",27574,DTXSID5022643,CCC1(CC)C(=O)NC(=O)NC1=O,"InChI=1S/C8H12N2O3/c1-3-8(4-2)5(11)9-7(13)10-6(8)12/h3-4H2,1-2H3,(H2,9,10,11,12,13)",FTOAOBMCPZCFFF-UHFFFAOYSA-N,?,,190.0,100178
100182,57-55-6,57-55-6,CC(O)CO,"1,2-PROPANEDIOL","1,2-Propylene glycol","propane-1,2-diol",27578,DTXSID0021206,CC(O)CO,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3",DNIAPMSPPWPWGF-UHFFFAOYSA-N,?,,-60.0,100182
100186,57-63-6,57-63-6,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@]2(O)C#C,ETHINYL ESTRADIOL,17alpha-Ethinylestradiol,"(17beta)-17-ethynylestra-1(10),2,4-triene-3,17-diol",27582,DTXSID5020576,CC12CCC3C(CCc4cc(O)ccc43)C1CCC2(O)C#C,"InChI=1S/C20H24O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21-22H,4,6,8-11H2,2H3",BFPYWIDHMRZLRN-UHFFFAOYSA-N,?,,183.0,100186
100191,57-71-6,57-71-6,C/C(=N\O)/C(C)=O,"2,3-Butanedione, monooxime","2,3-Butanedione-2-oxime",(3E)-3-(hydroxyimino)butan-2-one,27586,DTXSID7024669,CC(N=O)C(C)=O,"InChI=1S/C4H7NO2/c1-3(5-7)4(2)6/h3H,1-2H3",HWVHPDJSBJNKCK-UHFFFAOYSA-N,?,,76.8,100191
100195,57-87-4|128-27-8|474-69-1,57-87-4|128-27-8|474-69-1,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,"ERGOSTEROL, Pyrocalciferol, Lumisterol",,,27590|29735|30507,DTXSID90878679|DTXSID00878680|DTXSID60878681,CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C,"InChI=1S/C28H44O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h7-10,18-20,22,24-26,29H,11-17H2,1-6H3/b8-7+",DNVPQKQSNYMLRS-BQYQJAHWSA-N,?,,127.333333333333,100195
100200,58-08-2,58-08-2,CN1C(=O)c2c([n]c[n]2C)N(C)C1=O,CAFFEINE,Caffeine,"1,3,7-trimethyl-3,7-dihydro-1H-purine-2,6-dione",27595,DTXSID0020232,CN1C(=O)c2c([n]c[n]2C)N(C)C1=O,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N,?,,238.0,100200
100204,58-19-5,58-19-5,C[C@@H]1C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CC[C@H]2CC1=O,DROMOSTANOLONE,Dromostanolone,"(2alpha,5alpha,17beta)-17-hydroxy-2-methylandrostan-3-one",27599,DTXSID6022971,CC1CC2(C)C3CCC4(C)C(O)CCC4C3CCC2CC1=O,"InChI=1S/C20H32O2/c1-12-11-20(3)13(10-17(12)21)4-5-14-15-6-7-18(22)19(15,2)9-8-16(14)20/h12-16,18,22H,4-11H2,1-3H3",IKXILDNPCZPPRV-UHFFFAOYSA-N,?,,151.0,100204
100208,58-27-5,58-27-5,CC1=CC(=O)c2ccccc2C1=O,"2-METHYL-1,4-NAPHTHOQUINONE",Menadione,"2-methylnaphthalene-1,4-dione",27603,DTXSID4021715,CC1=CC(=O)c2ccccc2C1=O,"InChI=1S/C11H8O2/c1-7-6-10(12)8-4-2-3-5-9(8)11(7)13/h2-6H,1H3",MJVAVZPDRWSRRC-UHFFFAOYSA-N,?,,107.0,100208
100215,58-39-9,58-39-9,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,PERPHENAZINE,Perphenazine,2-{4-[3-(2-chloro-10H-phenothiazin-10-yl)propyl]piperazin-1-yl}ethanol,27607,DTXSID1023441,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,"InChI=1S/C21H26ClN3OS/c22-17-6-7-21-19(16-17)25(18-4-1-2-5-20(18)27-21)9-3-8-23-10-12-24(13-11-23)14-15-26/h1-2,4-7,16,26H,3,8-15H2",RGCVKNLCSQQDEP-UHFFFAOYSA-N,?,,97.0,100215
100219,58-56-0,58-56-0,Cl.Cc1[n]cc(CO)c(CO)c1O,PYRIDOXINE HYDROCHLORIDE,Pyridoxine hydrochloride,"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol hydrochloride (1:1)",27611,DTXSID1040792,Cc1[n]cc(CO)c(CO)c1O,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",LXNHXLLTXMVWPM-UHFFFAOYSA-N,Cl,18179.0,207.0,100219
100224,58-74-2,58-74-2,COc1ccc(Cc2[n]ccc3cc(OC)c(cc32)OC)cc1OC,PAPAVERINE,Papaverine,"1-(3,4-dimethoxybenzyl)-6,7-dimethoxyisoquinoline",27615,DTXSID4023418,COc1ccc(Cc2[n]ccc3cc(OC)c(cc32)OC)cc1OC,"InChI=1S/C20H21NO4/c1-22-17-6-5-13(10-18(17)23-2)9-16-15-12-20(25-4)19(24-3)11-14(15)7-8-21-16/h5-8,10-12H,9H2,1-4H3",XQYZDYMELSJDRZ-UHFFFAOYSA-N,?,,147.5,100224
100229,58-96-8,3083-77-0,OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,URIDINE,Arabinofuranosyluracil,"1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione",27619,DTXSID80184832,OCC1OC(C(O)C1O)N1C=CC(=O)NC1=O,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)",DRTQHJPVMGBUCF-UHFFFAOYSA-N,?,,165.0,100229
100234,59-26-7,59-26-7,CCN(CC)C(=O)c1ccc[n]c1,NIKETHAMIDE,"N,N-Diethylnicotinamide","N,N-diethylpyridine-3-carboxamide",27624,DTXSID9046524,CCN(CC)C(=O)c1ccc[n]c1,"InChI=1S/C10H14N2O/c1-3-12(4-2)10(13)9-6-5-7-11-8-9/h5-8H,3-4H2,1-2H3",NCYVXEGFNDZQCU-UHFFFAOYSA-N,?,,25.0,100234
