index,compound id (and file prefix),SMILES,iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem),experimental value (kcalmol),experimental uncertainty (kcalmol),Mobley group calculated value (GAFF) (kcalmol),calculated uncertainty (kcalmol),experimental reference (original or paper this value was taken from),calculated reference,text notes.,mol,isosmiles
12,mobley_1189457, CSc1ccccc1, methylsulfanylbenzene,-2.73,0.6,-1.32,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d26a0>,CSc1ccccc1
13,mobley_1199854, CCCI, 1-iodopropane,-0.53,0.6,-0.44,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d2220>,CCCI
14,mobley_1231151, CC(C)Cl, 2-chloropropane,-0.25,0.6,0.83,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d2ac0>,CC(C)Cl
15,mobley_1235151, CCCCC[N+](=O)[O-], 1-nitropentane,-2.82,0.6,-1.32,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d2b20>,CCCCC[N+](=O)[O-]
16,mobley_1244778, C1CCCC(CC1)O, cycloheptanol,-5.48,0.6,-4.34,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d2b80>,OC1CCCCCC1
17,mobley_1261349, CC(C)(C)C, neopentane,2.51,0.6,2.51,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d2a60>,CC(C)(C)C
18,mobley_1278715, C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl, hexachloroethane,-0.64,0.1,0.89,0.03, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d2e20>,ClC(Cl)(Cl)C(Cl)(Cl)Cl
19,mobley_129464, CCCCOCCCC, 1-butoxybutane,-0.83,0.6,0.14,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d2fa0>,CCCCOCCCC
20,mobley_1323538, CCOP(=O)(OCC)OCC, triethylphosphate,-7.5,0.2,-10.25,0.04, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b76476d24c0>,CCOP(=O)(OCC)OCC
21,mobley_1328465, C(C(Cl)Cl)Cl," 1,1,2-trichloroethane",-1.99,0.6,-0.38,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d2580>,ClCC(Cl)Cl
22,mobley_1328936, COC(=O)c1ccc(cc1)[N+](=O)[O-], methyl 4-nitrobenzoate,-6.88,0.6,-6.59,0.03, 10.1139v92-210, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d2a00>,COC(=O)c1ccc([N+](=O)[O-])cc1
23,mobley_1352110, CCCCN(CC)C(=O)SCCC, pebulate,-3.64,1.93,-4.57,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d2d00>,CCCCN(CC)C(=O)SCCC
24,mobley_1363784, Cc1cc(cnc1)C," 3,5-dimethylpyridine",-4.84,0.6,-2.87,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6ca0>,Cc1cncc(C)c1
25,mobley_1396156, c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O, pentachloronitrobenzene,-5.22,0.25,-1.28,0.04, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6e20>,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
26,mobley_1417007, C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl, captan,-9.01,1.93,-8.72,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Renamed mobley_1417007 from captan to (3aR,7aR)-2-(trichloromethylsulfanyl)-3a,4,7,7a-tetrahydroisoindole-1,3-dione (the name from the 3D structure) since the former did not completely specify stereochemistry.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6e80>,O=C1[C@@H]2CC=CC[C@H]2C(=O)N1SC(Cl)(Cl)Cl
27,mobley_1424265, Cc1cccc(c1)C, m-xylene,-0.83,0.6,-0.7,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6ee0>,Cc1cccc(C)c1
28,mobley_1449384, Cc1ccc(cc1)C(C)C, 1-isopropyl-4-methyl-benzene,-0.68,0.6,-0.46,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6fa0>,Cc1ccc(C(C)C)cc1
29,mobley_1469079, c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl," 2,3-dichlorodibenzo-p-dioxin",-3.56,1.0,-3.59,0.04, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d60a0>,Clc1cc2c(cc1Cl)Oc1ccccc1O2
30,mobley_1502181, CCCCCCCC(=O)C, nonan-2-one,-2.49,0.6,-2.56,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6280>,CCCCCCCC(C)=O
31,mobley_1520842, Cc1ccncc1, 4-methylpyridine,-4.93,0.6,-3.34,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6340>,Cc1ccncc1
32,mobley_1527293, C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O, flurbiprofen,-8.42,0.16,-13.95,0.05, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104, Renamed mobley_1527293 from flurbiprofen to (2S)-2-(3-fluoro-4-phenyl-phenyl)propanoic acid (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,<rdkit.Chem.rdchem.Mol object at 0x2b76476d6220>,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
33,mobley_1563176, CCCCS, butane-1-thiol,-0.99,0.6,-0.17,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d65e0>,CCCCS
34,mobley_1571523, Cc1cccc(c1C)O," 2,3-dimethylphenol",-6.16,0.6,-5.15,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6760>,Cc1cccc(O)c1C
35,mobley_1592519, CCCCCC(=O)OCC, ethyl hexanoate,-2.23,0.6,-2.93,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6820>,CCCCCC(=O)OCC
36,mobley_1615431, CC(C)OC(C)C, 2-isopropoxypropane,-0.53,0.6,-0.18,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6a00>,CC(C)OC(C)C
37,mobley_1636752, CO, methanol,-5.1,0.6,-3.49,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6b80>,CO
38,mobley_1650157, CC(C)(C)O, 2-methylpropan-2-ol,-4.47,0.6,-3.29,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6460>,CC(C)(C)O
39,mobley_1659169, C1COCCN1, morpholine,-7.17,0.6,-6.12,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6580>,C1COCCN1
40,mobley_1662128, CCC=C, but-1-ene,1.38,0.6,2.37,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6880>,C=CCC
41,mobley_1674094, CCCCC#C, hex-1-yne,0.29,0.6,0.55,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d69a0>,C#CCCCC
42,mobley_1708457, CS(=O)(=O)C, methylsulfonylmethane,-10.08,0.6,-10.56,0.03," J. Peter Guthrie, unpublished data, as provided to D. Mobley 20072008, and as cited in 10.1021jp0764384", 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476d6be0>,CS(C)(=O)=O
43,mobley_1717215, COC=O, methyl formate,-2.78,0.6,-4.03,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476db100>,COC=O
44,mobley_1722522, CCCC(=O)OCC, ethyl butanoate,-2.49,0.6,-3.38,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476db160>,CCCC(=O)OCC
45,mobley_1723043, C1(C(C(C1(F)F)(F)F)(F)F)(F)F, octafluorocyclobutane,3.43,0.03,3.08,0.03, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476db220>,FC1(F)C(F)(F)C(F)(F)C1(F)F
46,mobley_1728386, c1ccc(cc1)C(=O)N, benzamide,-11.0,0.2,-10.41,0.03, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b76476db3a0>,NC(=O)c1ccccc1
47,mobley_172879, c1ccc2c(c1)Oc3ccccc3O2, dibenzo-p-dioxin,-3.15,0.1,-4.9,0.02, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476db580>,c1ccc2c(c1)Oc1ccccc1O2
48,mobley_1733799, c1cc(ccc1O)Br, 4-bromophenol,-5.85,0.83,-5.83,0.03, 10.1039J29710000533 and 10.1007BF00646936, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Experimental value updated 102213 from J. Peter Guthrie (University of Western Ontario) taken as a weighted average of the values -7.13 from a Cabani review, and -5.24 from experimental data from Parsons, Rochester, and Wood (see reference). The weighting gives preference to the latter since it gives source data.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476db640>,Oc1ccc(Br)cc1
49,mobley_1735893, CCCCCC(=O)O, hexanoic acid,-6.21,0.6,-7.88,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476db520>,CCCCCC(=O)O
50,mobley_1743409, CCOC(=O)CCC(=O)OCC, diethyl butanedioate,-5.71,0.6,-8.68,0.05, 10.1139v91-2, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476db880>,CCOC(=O)CCC(=O)OCC
51,mobley_1755375, Cc1cccc(c1O)C," 2,6-dimethylphenol",-5.26,0.6,-4.31,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476db940>,Cc1cccc(C)c1O
52,mobley_1760914, Cc1ccccc1Cl, 1-chloro-2-methyl-benzene,-1.14,0.6,-0.47,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476db820>,Cc1ccccc1Cl
53,mobley_1770205, COP(=S)(OC)SCn1c(=O)c2ccccc2nn1," 3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",-10.03,1.37,-14.11,0.06, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from azinphosmethyl to 3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476dbbe0>,COP(=S)(OC)SCn1nnc2ccccc2c1=O
54,mobley_1781152, CC(C)(C)C(=O)OC," methyl 2,2-dimethylpropanoate",-2.4,0.6,-3.3,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476dbd60>,COC(=O)C(C)(C)C
55,mobley_1792062, C(CBr)Br," 1,2-dibromoethane",-2.33,0.6,-1.27,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476dbca0>,BrCCBr
56,mobley_1800170, CCS, ethanethiol,-1.14,0.6,-0.4,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476dbfa0>,CCS
57,mobley_1803862, CCC(C)C, isopentane,2.38,0.6,2.59,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476db040>,CCC(C)C
58,mobley_1821184, Cc1c[nH]c2c1cccc2, 3-methyl-1H-indole,-5.88,0.6,-8.16,0.03, 10.1021bi00507a030, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476db4c0>,Cc1c[nH]c2ccccc12
59,mobley_1827204, CCCCCC=O, hexanal,-2.81,0.6,-2.86,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476db7c0>,CCCCCC=O
60,mobley_1838110, C(C(F)(Cl)Cl)(F)(F)Cl," 1,1,2-trichloro-1,2,2-trifluoro-ethane",1.77,0.6,1.69,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476dba60>,FC(F)(Cl)C(F)(Cl)Cl
61,mobley_1849020, CCOP(=S)(OCC)SCSc1ccc(cc1)Cl, 4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane,-6.5,0.83,-7.02,0.05, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from carbophenothion to 4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476dbc40>,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
62,mobley_1855337, c1c(cc(c(c1Cl)Cl)Cl)Cl," 1,2,3,5-tetrachlorobenzene",-1.62,0.6,0.14,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476dbf40>,Clc1cc(Cl)c(Cl)c(Cl)c1
63,mobley_1857976, C(CCl)Cl," 1,2-dichloroethane",-1.79,0.6,-0.36,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e20a0>,ClCCCl
64,mobley_1858644, c1ccc(cc1)CCO, 2-phenylethanol,-6.79,0.6,-5.28,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e2160>,OCCc1ccccc1
65,mobley_186894, CCCS, propanethiol,-1.1,0.2,-0.18,0.02, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b76471e21c0>,CCCS
66,mobley_1873346, Cc1ccccc1, toluene,-0.9,0.2,-0.79,0.03, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b76471e22e0>,Cc1ccccc1
67,mobley_1875719, CCC(=O)CC, pentan-3-one,-3.41,0.2,-3.05,0.03, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b76471e23a0>,CCC(=O)CC
68,mobley_1881249, CCCC(=O)C, pentan-2-one,-3.52,0.6,-3.17,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e2460>,CCCC(C)=O
69,mobley_1893815, C(C(Cl)(Cl)Cl)Cl," 1,1,1,2-tetrachloroethane",-1.43,0.1,-0.09,0.03, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e2520>,ClCC(Cl)(Cl)Cl
70,mobley_1893937, CCCCCCCl, 1-chlorohexane,0.0,0.6,1.26,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e2580>,CCCCCCCl
71,mobley_1896013, C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O," (2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",-20.52,0.27,-14.15,0.08, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from d-xylose to (2S,3R,4S,5R)-oxane-2,3,4,5-tetrol for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e25e0>,O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O
72,mobley_1899443, CCCC(=C)C, 2-methylpent-1-ene,1.47,0.6,2.49,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e2640>,C=C(C)CCC
73,mobley_1903702, CC[C@H](C)O, butan-2-ol,-4.62,0.6,-3.15,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104, Renamed mobley_1903702 from butan-2-ol to (2S)-butan-2-ol (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,<rdkit.Chem.rdchem.Mol object at 0x2b76471e26a0>,CC[C@H](C)O
74,mobley_1905088, c1ccc(cc1)CBr, benzyl bromide,-2.38,0.2,-1.85,0.03, 10.1021jm070549+, 10.1021acs.jced.7b00104," Topology and coordinate files re-generated 10913 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e2760>,BrCc1ccccc1
75,mobley_1922649, COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-], methylparathion,-7.19,0.1,-10.47,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from methyparathion to methylparathion for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e2820>,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
76,mobley_1923244, CCCC, n-butane,2.1,0.2,2.59,0.02, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b76471e2880>,CCCC
78,mobley_194273, CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br, bromacil,-9.73,1.93,-14.5,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Renamed mobley_194273 from bromacil to 5-bromo-6-methyl-3-[(1S)-1-methylpropyl]-1H-pyrimidine-2,4-dione (the name from the 3D structure) since the former did not completely specify stereochemistry.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e2a00>,CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O
79,mobley_1944394, CN(C)CCOC(c1ccccc1)c2ccccc2, [2-benzhydryloxyethyl]-dimethyl-amine,-9.34,0.62,-7.87,0.06, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e2ac0>,CN(C)CCOC(c1ccccc1)c1ccccc1
80,mobley_1952272, C[N+](=O)[O-], nitromethane,-4.02,0.6,-2.08,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e2b20>,C[N+](=O)[O-]
81,mobley_1963873, CC(=O)NC, N-methylacetamide,-10.0,0.6,-8.28,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e2be0>,CNC(C)=O
82,mobley_1967551, CC=O, acetaldehyde,-3.5,0.6,-3.37,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76471e2ca0>,CC=O
